sim,method,l1
85,PSC,0.6052631578947368
85,GEN,0.548502722323049
85,CEM,0.3694732234058077
86,RAW,0.6435309685405728
86,MAH,0.5906432748538011
86,PSC,0.6198830409356725
86,GEN,0.5910384068278806
86,CEM,0.385992275698158
87,RAW,0.6194151634102236
87,MAH,0.5189873417721519
87,PSC,0.5632911392405063
87,GEN,0.5367496937525521
87,CEM,0.3658269441401972
88,RAW,0.6461102845899122
88,MAH,0.5522388059701493
88,PSC,0.6268656716417911
88,GEN,0.5696162046908315
88,CEM,0.375
89,RAW,0.6077978625148437
89,MAH,0.5157232704402516
89,PSC,0.6226415094339623
89,GEN,0.5079857663025488
89,CEM,0.32005108556832695
90,RAW,0.6759193693055753
90,MAH,0.5289855072463768
90,PSC,0.644927536231884
90,GEN,0.550368258493704
90,CEM,0.4287941787941788
91,RAW,0.6411226114649682
91,MAH,0.5222929936305732
91,PSC,0.6369426751592357
91,GEN,0.5619300737753746
91,CEM,0.4068020587007929
92,RAW,0.6999271999272
92,MAH,0.5743243243243243
92,PSC,0.6621621621621622
92,GEN,0.615990990990991
92,CEM,0.4592741935483871
93,RAW,0.6401423583131883
93,MAH,0.5098039215686274
93,PSC,0.5424836601307189
93,GEN,0.5172113289760348
93,CEM,0.3611832611832612
94,RAW,0.6602813852813852
94,MAH,0.5454545454545454
94,PSC,0.5636363636363636
94,GEN,0.5320464923204649
94,CEM,0.42249103942652333
95,RAW,0.6191872451550832
95,MAH,0.5273972602739726
95,PSC,0.5821917808219178
95,GEN,0.5449208325920655
95,CEM,0.34762669112588857
96,RAW,0.6650852098380777
96,MAH,0.5362318840579711
96,PSC,0.6304347826086957
96,GEN,0.5648119995946083
96,CEM,0.41948092557848654
97,RAW,0.5831034482758621
97,MAH,0.4689655172413793
97,PSC,0.5586206896551724
97,GEN,0.5006165791276547
97,CEM,0.36396835057821064
98,RAW,0.6744324970131422
98,MAH,0.5777777777777778
98,PSC,0.7185185185185186
98,GEN,0.5938997821350762
98,CEM,0.3799755052051439
99,RAW,0.6071097781502227
99,MAH,0.5253164556962026
99,PSC,0.5949367088607594
99,GEN,0.5581561977549558
99,CEM,0.3117573483427142
100,RAW,0.6601448327007808
100,MAH,0.5555555555555556
100,PSC,0.6419753086419753
100,GEN,0.5568974771873323
100,CEM,0.39778306799583396
101,RAW,0.6617858968995491
101,MAH,0.5704225352112676
101,PSC,0.6549295774647887
101,GEN,0.5732604582720202
101,CEM,0.43526748281066574
102,RAW,0.6392246396275405
102,MAH,0.5555555555555556
102,PSC,0.6405228758169935
102,GEN,0.5637254901960784
102,CEM,0.3708133971291866
103,RAW,0.6476425704582544
103,MAH,0.5506329113924051
103,PSC,0.6075949367088608
103,GEN,0.5517600138720304
103,CEM,0.43434343434343436
104,RAW,0.6336807846241809
104,MAH,0.5283018867924528
104,PSC,0.6037735849056604
104,GEN,0.5585691823899371
104,CEM,0.3711080586080586
105,RAW,0.5995823603377043
105,MAH,0.5197368421052632
105,PSC,0.631578947368421
105,GEN,0.5517543859649123
105,CEM,0.33266733266733267
106,RAW,0.6432760318739368
106,MAH,0.5620915032679739
106,PSC,0.607843137254902
106,GEN,0.6139490884072927
106,CEM,0.42045454545454547
107,RAW,0.6527680937107795
107,MAH,0.5985915492957746
107,PSC,0.6549295774647887
107,GEN,0.6150234741784038
107,CEM,0.3294917257683215
108,RAW,0.6065634732487334
108,MAH,0.5
108,PSC,0.5985915492957746
108,GEN,0.5446710111414758
108,CEM,0.34686404363069734
109,RAW,0.6479541588324828
109,MAH,0.6013071895424836
109,PSC,0.6601307189542484
109,GEN,0.5960869196163314
109,CEM,0.36657727120348643
110,RAW,0.6324506324506325
110,MAH,0.5540540540540541
110,PSC,0.6148648648648649
110,GEN,0.5675675675675675
110,CEM,0.3976598549769282
111,RAW,0.6292207792207792
111,MAH,0.5636363636363636
111,PSC,0.6242424242424243
111,GEN,0.5921903599755949
