rep,method,mspe_base,mspe_perturbed,mspe_ratio
44,CEM.W,41062.506179836535,41406.045039972734,1.0083662419101174
45,CEM.W,16629.603443463708,53445.517812775055,3.2138780695809017
46,CEM.W,1529.453379497721,11113.273064969273,7.266173139987385
47,CEM.W,22924.383218644925,19983.43072658364,0.8717107254746403
48,CEM.W,7920.133613999297,2023.1817920330088,0.2554479369460279
49,CEM.W,407.21385703124866,9912.352385384807,24.341883789637727
50,CEM.W,2787.808601785244,109175.24810583565,39.16167273317204
51,CEM.W,435.62564483018366,62017.40797824096,142.36399696445028
52,CEM.W,4993.0601009534475,5810.637644357634,1.163742780353889
53,CEM.W,6358.404822935492,3365.0136273131016,0.529222929495636
54,CEM.W,182.6878955669296,1467.0328426609485,8.030268442845388
55,CEM.W,23235.54944335267,1340.7239513150691,0.057701409410769476
56,CEM.W,1868.3383513803606,22711.71932740791,12.156106152093972
57,CEM.W,10795.677017901135,2683.1750523897,0.24854161975580807
58,CEM.W,5968.658464900033,33010.42862481088,5.530627831854633
59,CEM.W,1454.1132325149572,91.9917980929794,0.06326316000431084
60,CEM.W,818.4918988006672,177.87930576163956,0.21732567667717345
61,CEM.W,272.71756730483946,11280.769740733032,41.3642943951739
62,CEM.W,0.03349354878825943,3263.666722799477,97441.65192622102
63,CEM.W,63014.59668533206,6004.078146808536,0.09528075180406746
64,CEM.W,7060.582788606219,58934.43402398548,8.346964519570392
65,CEM.W,1927.9011131531954,1263.9499361159928,0.6556093191152986
66,CEM.W,38.136337596171785,300.15718765202877,7.870634847803509
67,CEM.W,57.025797720612026,2332.783007371218,40.90750328123918
68,CEM.W,994.7716739997156,3905.1575334815675,3.9256822802160767
69,CEM.W,5483.458080849661,32545.37359129857,5.935191463386854
70,CEM.W,849.6913873530453,332338.9080772972,391.12895931850954
71,CEM.W,30794.577642470842,99653.45033898299,3.2360713465848714
72,CEM.W,1268.0924148943348,117125.03983481014,92.36317358192677
73,CEM.W,133.3792606370861,4535.462282337461,34.00425418969803
74,CEM.W,21.120809688791535,3858.3120278812075,182.67822515955675
75,CEM.W,47619.27074674281,43615.0496710963,0.9159117514221823
76,CEM.W,8469.865072170644,9049.435301718733,1.0684273273080085
77,CEM.W,2505.0768967544927,48179.64522589392,19.232800912544487
78,CEM.W,3433.1546692918187,113357.75402610654,33.01853978209775
79,CEM.W,49008.79186114159,62841.755903389065,1.282254744851514
80,CEM.W,9263.771419750025,9157.017305364547,0.9884761713617111
81,CEM.W,5210.319005129029,30.073479892309994,0.00577190760540875
82,CEM.W,1142.8375993637687,433.5658463017527,0.37937660306514587
83,CEM.W,354.96175284889756,38474.3373349435,108.39009280901739
84,CEM.W,1059.5768921868212,19847.288098003773,18.73133346372031
85,CEM.W,18023.396896364055,12664.843322751327,0.7026890322382162
86,CEM.W,30618.659797330372,13561.300043161913,0.4429096548616513
87,CEM.W,3626.240575574434,19891.810886759577,5.4855188099616115
88,CEM.W,15496.29697510062,9499.105260205559,0.612991947396767
89,CEM.W,38387.42849179197,2714.2937011474223,0.07070788036056634
90,CEM.W,159.97401187725367,749.2030463838913,4.683279725201532
91,CEM.W,15800.029656880433,57109.81961963968,3.6145387609934065
92,CEM.W,5.761182640008669,8426.182948320476,1462.5786882374896
93,CEM.W,11815.461519709741,6298.2111501088275,0.5330482554238432
94,CEM.W,3159.600981483722,20407.0634666223,6.458747033633125
95,CEM.W,151.34606209207982,2470.481480738568,16.32339452106466
96,CEM.W,2663.312668629055,9.173950216675962,0.0034445637287484794
97,CEM.W,63812.36819818341,58439.30234848351,0.9157989900482512
98,CEM.W,52509.362891983576,11827.91704190444,0.22525348605420173
99,CEM.W,13189.099321620155,47412.97135263972,3.5948604371276724
100,CEM.W,18102.084964241294,1487.6418692679226,0.08218069201457168
101,CEM.W,575.3642731672678,995.5485217640452,1.7302925610652626
102,CEM.W,5970.036736322765,4656.152588419101,0.7799202574567492
103,CEM.W,5571.39424354976,11210.376167278437,2.0121311968287228
104,CEM.W,7602.570464129555,2692.212427108532,0.354118707588562
105,CEM.W,10839.447093813611,4052.6206722514653,0.3738770656083016
106,CEM.W,44307.94396797304,21847.30331294361,0.4930786977778843
